cdr_id,subscriber_id,call_type,call_start_ts,call_end_ts,duration_seconds,data_mb,originating_number,terminating_number,tower_id,network_type,roaming_country,call_cost,rating_status,is_anomaly,event_date
845d23ec-3f83-44f6-afc6-ad549db8a01b,d635b079-6763-4423-a86c-c8c9e1f2d5e5,roaming_voice,2024-08-10 18:36:46,2024-08-10 19:46:44,4198,,+14412566958,+13867330086,TWR-20592,3G,CA,13.3891,rated,0,2024-08-10
de7a8017-358d-4f00-8972-39aa68400e01,d1697190-a12e-4e10-b17c-e694670a1de6,voice_mt,2022-08-04 21:36:22,2022-08-04 23:08:16,5514,,+19090888542,+15100100483,TWR-25363,5G,,244.6061,rated,0,2022-08-04
0e9c78a3-4910-46f2-b6f4-27fa96fe2b2c,211deab4-2722-4ad1-b72f-ad3bca960f5e,sms_mo,2023-03-04 09:20:03,2023-03-04 09:20:03,,,+12613659495,+13297787161,TWR-63652,LTE,,0.0,rated,0,2023-03-04
4627845f-6ad7-42c0-bf48-7024a332aa93,12a3251f-182f-4bfb-b1be-c1d7c72afdd1,sms_mo,2024-10-14 02:18:38,2024-10-14 02:18:38,,,+18276728396,+12366070152,TWR-35333,5G_NSA,,0.0,rated,0,2024-10-14
ecca5dbb-a4af-4543-8b5e-fa260c50827f,ec9812d2-8a87-41df-a7e7-98da9821ede4,roaming_voice,2023-05-14 03:38:18,2023-05-14 05:17:55,5977,,+17610516641,+14872589833,TWR-81495,WiFi_calling,DE,85.029,rated,0,2023-05-14
531b336e-81f7-4607-9cac-8aa74fb6e1ec,ea61e6b4-0fe4-4db7-a1d6-a87def3a04d7,voicemail,2023-01-26 04:55:41,2023-01-26 05:14:22,1121,,+18303418602,+17243645035,TWR-65195,3G,,22.172,rated,0,2023-01-26
418551e8-e2e8-438a-b2f1-9f5e08a0e4f3,a1cd6938-488b-4c2d-a8df-3c77cdb0418b,sms_mt,2022-09-26 06:37:07,2022-09-26 06:37:07,,,+14181981960,+18408619481,TWR-96136,5G_NSA,,0.0,rated,0,2022-09-26
8d10c164-fb24-458a-a744-0e8e8c0f7cb0,1cf9891c-2c57-4c34-b636-2d5d4efc3ef5,roaming_voice,2023-04-12 09:56:14,2023-04-12 11:18:51,4957,,+18974323544,+15989562502,TWR-33071,3G,BR,81.9347,partial,0,2023-04-12
057472d8-5639-49a9-970e-93af83d26004,6fd92713-3e2c-4ca4-8e89-00e7b2d543a5,sms_mo,2022-10-26 19:26:31,2022-10-26 19:26:31,,,+19516630598,+16145337959,TWR-59670,5G_NSA,,0.0,unrated,0,2022-10-26
5779ef9d-6a6e-4b59-b06c-508d10d75471,bbf03ee4-8dbf-484b-a9e7-dc5144716eea,roaming_voice,2023-03-09 09:51:12,2023-03-09 11:03:52,4360,,+16310375940,+14452787697,TWR-95764,4G,GB,211.7195,rated,0,2023-03-09
