subscriber_id,msisdn,account_number,first_name,last_name,email,dob,state,plan_code,plan_start_date,device_type,imei,network_type,is_active,activation_date,deactivation_date,churn_reason,payment_method,monthly_spend,credit_score,num_lines,ported_from,created_at,updated_at
40058716-6dd4-4013-8c91-2d30e54d1aae,+18957004237,ACT94784694,Linda,Wilson,linda.wilson354@gmail.com,1950-02-17,VA,POSTPAID_PRO,2020-01-05 00:22:23,feature_phone,675461911958833,5G_NSA,1,2019-06-22 11:28:07,,,voucher,130.53,726,3,,2019-02-17 11:08:10,2024-10-18 07:40:27
1df01f4d-3e15-47a7-ad14-b1e70e40142d,+15770434919,ACT69934723,James,Brown,james.brown78@gmail.com,1953-07-10,VA,FAMILY_PLAN,2024-09-27 05:59:06,feature_phone,432334153692909,WiFi_calling,1,2019-11-08 00:51:14,,,check,360.43,476,4,,2018-09-13 14:03:48,2020-12-11 04:10:15
91e7c52a-c897-4018-b239-039c5a6f757f,+15419929504,ACT19683030,Jennifer,Lopez,jennifer.lopez281@gmail.com,2004-12-13,IL,POSTPAID_STARTER,2024-01-28 17:45:54,feature_phone,804649054586291,WiFi_calling,1,2023-01-19 23:28:52,,,check,441.51,770,1,,2018-12-23 21:07:48,2023-10-03 02:23:56
de3d6236-3db8-46d8-8e4f-17ab164d540e,+14081605598,ACT46614789,Karen,Rodriguez,karen.rodriguez597@gmail.com,1966-03-05,WA,PREPAID_BASIC,2023-05-19 06:03:50,smartphone,485494994764449,WiFi_calling,1,2021-06-26 16:42:05,,,auto_pay,206.56,727,1,,2018-10-20 18:57:20,2021-12-25 17:00:58
296e620a-df98-4ba9-a9d2-85d5919a53bb,+19771434558,ACT68537265,Michael,Moore,michael.moore363@gmail.com,2002-09-03,FL,PREPAID_UNLIMITED,2021-01-25 12:52:02,tablet,713979104958913,3G,0,2020-08-12 16:12:31,2023-04-02 00:56:32,deceased,debit_card,393.96,464,6,,2018-03-24 00:57:24,2023-07-12 11:33:47
ce1d428f-5988-4b0f-ab5a-f2146d916ae5,+14531009549,ACT88429324,Sarah,Taylor,sarah.taylor13@gmail.com,1993-02-26,AZ,POSTPAID_PRO,2024-10-26 19:48:22,hotspot,,4G,1,2024-02-15 18:18:54,,,auto_pay,50.79,470,2,tmobile,2020-02-26 01:12:36,2024-06-16 11:22:50
17cca86b-ef4f-40ad-b2da-e1798cbafaee,+19575037935,ACT48758633,James,Martinez,james.martinez303@gmail.com,1981-07-26,MI,PREPAID_UNLIMITED,2020-05-05 04:35:29,smartwatch,,LTE,0,2019-09-04 11:23:02,2023-03-10 13:17:03,service_quality,bank_transfer,436.43,577,5,cricket,2018-04-28 02:07:54,2019-11-01 01:56:00
f3505f8b-eff5-4e2e-8287-a042d4c47f52,+16308795529,ACT96378661,Linda,Garcia,linda.garcia56@gmail.com,1991-05-06,CA,PREPAID_UNLIMITED,2023-09-12 14:25:49,smartphone,248340448207755,5G_NSA,1,2020-07-12 10:57:06,,,bank_transfer,42.58,487,4,,2019-10-31 23:00:24,2021-10-17 21:45:25
db2f1a2a-3ebc-484f-80ce-7979ced1f225,+19906610231,ACT44430699,Charles,Davis,charles.davis136@gmail.com,1989-02-12,NY,POSTPAID_STARTER,2021-12-23 17:28:07,feature_phone,334636144893778,WiFi_calling,1,2019-06-06 01:18:23,,,cash,103.52,437,6,,2018-07-12 22:53:01,2020-11-22 14:49:09
c7d1d62a-f87e-459f-bc8e-84f9866dd266,+17109393712,ACT16707193,Karen,Williams,karen.williams538@gmail.com,1995-07-13,NC,PREPAID_UNLIMITED,2022-01-20 16:37:52,smartwatch,,3G,1,2021-05-27 01:25:45,,,debit_card,98.06,330,3,sprint,2018-04-07 13:14:53,2022-09-28 16:36:15
99396e22-ab0e-47b3-99e7-f7b984fa9a5e,+19880506410,ACT60947616,William,Smith,william.smith303@gmail.com,1973-02-06,CA,FAMILY_PLAN,2023-04-24 07:42:19,tablet,443467231542789,3G,1,2020-09-07 12:26:13,,,auto_pay,425.5,,4,,2020-08-02 21:49:25,2021-05-08 20:23:32
217d48c5-da1b-41a4-944d-be4f76b702bd,+13128818143,ACT56287978,Robert,Williams,,1964-06-20,NJ,POSTPAID_ELITE,2020-08-06 21:46:25,smartphone,228309717254855,4G,1,2019-03-04 21:17:31,,,auto_pay,438.13,733,5,,2018-10-19 22:16:42,2023-12-06 07:12:51
b977e935-9105-4ba9-9867-85fffda2cbe4,+18417479167,ACT69265252,Mary,Davis,mary.davis636@gmail.com,1969-10-20,AZ,POSTPAID_PRO,2021-10-22 15:57:08,hotspot,,3G,1,2021-03-21 21:35:43,,,cash,338.77,692,2,,2018-01-28 11:55:42,2022-06-03 10:26:40
742a2841-8cb1-40c2-8570-a27098fcac16,+14485644362,ACT12629509,Karen,Brown,karen.brown408@gmail.com,1954-10-09,TX,BUSINESS_UNLIMITED,2024-03-02 15:17:17,smartwatch,,3G,1,2019-09-22 11:01:42,,,debit_card,36.63,432,2,verizon,2018-11-25 20:07:19,2024-09-17 01:56:42
96660874-541d-4eee-be37-cf810e6fffd4,+15233811579,ACT26594775,Patricia,Smith,patricia.smith851@gmail.com,1968-03-27,CA,POSTPAID_STARTER,2022-06-10 04:26:07,tablet,567669134761296,WiFi_calling,0,2019-10-14 23:16:44,2024-03-21 12:22:53,deceased,cash,49.71,611,1,,2019-07-19 20:16:33,2021-02-17 19:28:44
ead771bb-2032-429d-bd8b-7cfc4c1835de,+12303104788,ACT84596264,Richard,Jones,richard.jones613@gmail.com,2004-09-10,AZ,BUSINESS_UNLIMITED,2022-02-22 19:33:38,feature_phone,814404471632237,5G,1,2020-03-15 23:33:39,,,cash,158.83,814,1,,2019-07-06 13:38:10,2024-08-05 06:44:16
eaa638c7-fb3c-4b89-82eb-ddad46dd3f0c,+14647494909,ACT53437870,Richard,Jackson,richard.jackson11@gmail.com,1977-08-04,CA,PREPAID_UNLIMITED,2020-01-15 21:26:19,tablet,974468604683836,5G,1,2019-03-16 10:27:55,,,auto_pay,333.42,477,4,boost,2018-05-28 13:03:07,2019-12-17 22:36:06
62ba5fb1-b1e0-4f0c-a7ee-e84d7c648003,+14593027894,ACT84810685,Mary,Anderson,mary.anderson257@gmail.com,1989-06-07,NY,FAMILY_PLAN,2021-02-10 03:01:18,smartphone,466015837632502,WiFi_calling,1,2020-03-05 18:29:55,,,cash,412.65,835,5,boost,2020-01-10 18:12:17,2021-07-27 01:02:14
b83b87bd-42b3-4aa8-928e-9bc29d8c9f17,+13819501688,ACT95323820,James,Martin,james.martin157@gmail.com,1952-02-18,NY,FAMILY_PLAN,2024-09-29 20:24:20,smartwatch,,4G,1,2020-06-21 10:55:10,,,debit_card,316.78,402,6,tmobile,2018-02-21 03:28:28,2023-05-23 15:01:33
d78ae58d-8c36-4e72-9306-4f872cc4ab35,+14549513453,ACT91123324,Richard,Wilson,richard.wilson558@gmail.com,1987-11-27,NC,BUSINESS_50,2022-03-15 13:46:52,smartphone,329436802850402,3G,1,2020-06-30 09:50:50,,,auto_pay,129.59,304,4,,2019-05-02 20:52:49,2022-07-06 09:52:30
014d0cea-8116-420c-835d-61642f9fdc4d,+18348489755,ACT18897963,Robert,Jones,robert.jones719@gmail.com,1999-01-18,CO,POSTPAID_ELITE,2021-03-18 11:18:33,tablet,689554747386263,3G,1,2020-02-16 20:16:26,,,debit_card,338.31,653,5,,2020-02-04 05:36:53,2022-01-26 16:23:55
50e81d82-63db-40d5-8066-1677ce111935,+14607641742,ACT30892748,Robert,Anderson,robert.anderson72@gmail.com,1985-03-21,NC,FAMILY_PLAN,2024-07-22 01:25:01,smartphone,116913858795726,LTE,1,2019-02-18 10:58:34,,,debit_card,295.16,808,2,att,2018-06-18 06:12:13,2019-07-07 05:38:09
f936189a-c5a2-41eb-9cad-5ba500b94d4e,+15826393733,ACT14282511,Karen,Anderson,karen.anderson624@gmail.com,2003-12-27,NJ,PREPAID_BASIC,2022-07-25 23:58:03,smartphone,136681705925030,3G,1,2021-06-03 19:25:33,,,cash,177.19,439,3,,2019-06-26 13:25:11,2024-05-22 09:12:35
9a926d96-e3b4-484b-ba11-435011886395,+13074184690,ACT33205638,Michael,Wilson,michael.wilson271@gmail.com,1966-08-27,MA,PREPAID_UNLIMITED,2023-04-24 01:47:28,hotspot,,WiFi_calling,1,2021-03-19 14:18:21,,,check,147.63,,1,,2018-02-17 02:26:23,2024-03-14 16:10:35
a7c1ebdf-c663-4b9a-af2e-4cd04561d192,+14161977987,ACT84456001,Linda,Martinez,linda.martinez403@gmail.com,1960-05-12,NC,POSTPAID_STARTER,2020-01-19 18:56:54,tablet,622034149101007,5G_NSA,1,2019-10-13 18:33:19,,,debit_card,289.35,481,4,,2018-04-20 13:47:53,2020-03-11 16:35:41
b8643e87-40b3-4948-a168-3c5ef680f0db,+12792632741,ACT17583663,Patricia,Gonzalez,patricia.gonzalez792@gmail.com,1970-06-07,TX,PREPAID_UNLIMITED,2020-10-05 01:07:13,tablet,807840564650591,WiFi_calling,1,2020-09-09 06:56:42,,,bank_transfer,84.0,717,4,verizon,2019-06-14 22:09:58,2021-05-18 01:56:02
edc73bcb-73ae-4af9-a7f0-6746c1bbc689,+18247622056,ACT79616425,William,Anderson,william.anderson8@gmail.com,1991-09-21,CO,BUSINESS_50,2023-09-12 02:51:30,smartwatch,,5G_NSA,1,2020-06-07 22:14:56,,,cash,78.22,439,3,sprint,2019-12-22 22:11:51,2021-12-29 09:12:53
19d515b9-80df-4186-a522-101fcd0ce992,+18618523694,ACT10044304,Lisa,Anderson,lisa.anderson496@gmail.com,1993-08-07,TX,PREPAID_UNLIMITED,2022-12-09 06:18:02,hotspot,,5G,0,2020-11-08 06:08:07,2024-10-29 12:48:08,service_quality,cash,332.43,424,6,cricket,2019-10-30 10:26:49,2024-11-25 12:10:08
5f3e4b83-e1ba-44b4-afcf-c6b788e1c508,+13047491187,ACT12334205,Linda,Rodriguez,,1953-01-25,NC,POSTPAID_PRO,2020-05-01 02:24:49,tablet,340222703387512,LTE,1,2019-01-06 00:17:45,,,credit_card,130.72,675,2,,2018-12-16 14:01:32,2021-11-20 01:19:11
cfe93de8-1c5c-4e53-81c9-35364b60af08,+16759201847,ACT13790813,Mary,Miller,mary.miller410@gmail.com,1968-06-11,AZ,POSTPAID_STARTER,2024-01-02 19:39:38,smartwatch,,WiFi_calling,1,2023-01-31 14:43:44,,,auto_pay,22.31,,6,,2018-10-08 04:22:13,2023-10-16 11:08:45
45290cf7-db6e-4361-851f-aed78f814ce1,+16195863821,ACT42963381,James,Garcia,james.garcia375@gmail.com,1993-05-11,CA,POSTPAID_ELITE,2023-04-27 00:49:54,tablet,849094827222038,5G,1,2019-09-02 17:29:24,,,cash,225.1,507,3,,2018-10-29 23:04:35,2022-05-26 14:27:39
a9b4dbe7-1262-4647-861c-a166e4d0c6e9,+17530235998,ACT57504862,Richard,Garcia,richard.garcia8@gmail.com,1970-04-13,OH,POSTPAID_ELITE,2024-03-26 01:58:33,tablet,752163769216763,3G,1,2019-03-13 03:29:52,,,debit_card,83.37,662,3,,2018-02-16 09:21:21,2020-05-11 10:48:02
7a8e19a6-114b-42ed-8008-277f30281dbc,+13948393481,ACT65879061,Mary,Davis,mary.davis956@gmail.com,1988-02-26,VA,POSTPAID_STARTER,2020-01-04 03:00:38,feature_phone,317130722295229,5G,1,2019-05-30 07:29:56,,,bank_transfer,448.43,538,2,,2018-11-29 12:36:34,2023-09-29 13:16:49
13fb9bdc-536a-44e2-b742-8c5c4ff459f4,+12320048895,ACT20599339,Barbara,Taylor,,1971-08-26,CA,POSTPAID_PRO,2020-11-08 01:55:46,feature_phone,908083938216700,WiFi_calling,0,2019-01-25 07:38:56,2021-09-11 12:10:24,relocation,voucher,205.81,473,3,,2018-03-10 01:10:49,2020-02-12 12:02:28
12729866-fb56-480d-a6a4-0bc334e0cbe9,+14884792652,ACT15977760,Susan,Lopez,susan.lopez395@gmail.com,1977-03-16,GA,POSTPAID_PRO,2024-05-11 12:33:14,hotspot,,5G_NSA,1,2019-08-25 17:30:26,,,auto_pay,315.02,614,6,,2019-05-11 09:11:03,2021-06-28 02:57:04
9420fd42-facb-48f5-8d23-8206f14d5d28,+15364350744,ACT38034410,Lisa,Anderson,lisa.anderson881@gmail.com,1997-04-04,VA,PREPAID_BASIC,2021-05-22 18:48:52,hotspot,,5G_NSA,1,2019-10-11 19:52:23,,,voucher,90.32,379,5,,2018-07-25 16:43:16,2020-06-17 10:14:44
9420fd42-facb-48f5-8d23-8206f14d5d28,+15364350744,ACT38034410,LISA,Anderson,lisa.anderson881@gmail.com,1997-04-04,VA,PREPAID_BASIC,2021-05-22 18:48:52,hotspot,,5G_NSA,1,2019-10-11 19:52:23,,,voucher,90.32,379,5,,2018-07-25 16:43:16,2020-06-17 10:14:44
59e4b437-a4e6-4566-96ba-cf5b07f4ae48,+16588505774,ACT96223301,Lisa,Anderson,lisa.anderson465@gmail.com,1997-10-09,TX,BUSINESS_UNLIMITED,2021-02-07 14:43:52,feature_phone,942830511655113,5G,1,2020-02-22 07:31:30,,,cash,440.65,550,2,cricket,2018-06-18 21:09:35,2021-04-17 05:10:33
ae93dd4b-85cd-4c60-aa88-05c271d5a01e,+15352688893,ACT56841478,Thomas,Jones,thomas.jones430@gmail.com,1968-01-10,OH,BUSINESS_50,2021-07-31 05:17:08,smartwatch,,LTE,1,2021-07-18 13:21:48,,,debit_card,276.53,558,3,,2018-08-29 02:03:43,2024-03-23 11:16:33
715137aa-9d83-4b99-aa86-c83552e45629,+16370573006,ACT58930313,Linda,Miller,linda.miller285@gmail.com,1982-10-04,CA,BUSINESS_UNLIMITED,2024-11-13 01:34:16,tablet,413251188227698,LTE,1,2022-11-28 03:45:36,,,voucher,406.51,611,2,cricket,2021-11-27 22:07:47,2023-07-03 22:56:26
d18a0bdc-5f0f-425a-9e7b-76151887bcc7,+19631455118,ACT79751420,William,Moore,william.moore399@gmail.com,2004-10-20,MI,POSTPAID_STARTER,2024-07-26 17:04:43,smartwatch,,LTE,1,2019-03-17 09:33:04,,,credit_card,60.67,744,5,,2019-01-28 18:30:43,2022-08-07 21:10:22
6a827ddb-2ceb-4285-86a5-e6b0ba94039b,+14873667591,ACT44271822,Charles,Jackson,charles.jackson251@gmail.com,1956-12-22,MA,PREPAID_BASIC,2021-01-05 19:13:33,tablet,374752264491923,WiFi_calling,1,2020-11-27 08:59:18,,,credit_card,362.01,345,2,,2019-08-18 15:33:23,2024-05-22 12:49:28
df3608fd-906d-4d77-b0bf-fc05ed43d9ce,+19703304562,ACT54322428,John,Williams,john.williams546@gmail.com,1989-03-07,OH,BUSINESS_50,2022-07-15 16:24:01,smartphone,983682354831065,LTE,1,2019-12-27 11:10:50,,,cash,419.03,552,5,,2019-01-03 13:08:55,2021-09-06 09:25:50
58ca97a1-94b0-4fed-bcf4-b6cf78abc00a,+14896881763,ACT22529027,Jennifer,Anderson,jennifer.anderson237@gmail.com,1979-08-09,CO,FAMILY_PLAN,2023-03-25 07:12:46,smartwatch,,5G_NSA,0,2021-03-10 18:26:48,2023-04-30 01:59:08,device_upgrade,voucher,310.24,,6,sprint,2020-04-05 14:41:59,2021-06-07 12:03:46
3621d365-7b9b-4a2e-b753-c847a9f91724,+14386879603,ACT28005723,James,Miller,james.miller255@gmail.com,1974-03-05,CA,POSTPAID_PRO,2022-08-30 19:35:54,hotspot,,3G,1,2022-03-06 15:43:21,,,cash,318.42,790,3,,2018-11-04 11:05:45,2023-12-07 22:39:29
09d63968-6bbc-4435-bef4-d2a462ca0c8f,+14029879279,ACT31029575,Susan,Brown,susan.brown303@gmail.com,1989-07-26,VA,POSTPAID_STARTER,2020-03-27 17:24:24,smartphone,755798418131954,3G,1,2020-02-11 04:18:53,,,check,338.63,596,4,,2019-10-25 10:53:05,2020-06-30 22:53:51
